#,app_name,category,developer,play_store_package_id,key_features,positioning_vs_blockchain
1,"Bitcoin.com Wallet: Buy, Sell",Other / Hybrid,Bitcoin.com Developer,com.bitcoin.mwallet,"bitcoin, Trusted by 70M+ Bitcoiners to manage, trade, and use Bitcoin (BTC) and Crypto","Bitcoin.com Wallet: Buy, Sell: general crypto app"
2,Ledger Wallet™ crypto app,DeFi / DEX Wallet,Ledger,com.ledger.live,"DeFi, NFT, All-in-one crypto wallet app: securely buy, grow & manage assets, NFTs & DeFi","Ledger Wallet™ crypto app: DeFi/Web3 emphasis, NFT support"
3,Coinomi: Crypto Bitcoin Wallet,Other / Hybrid,Coinomi,com.coinomi.wallet,"NFT, bitcoin, ethereum",Coinomi: Crypto Bitcoin Wallet: NFT support
4,MetaMask: Trade Crypto,Other / Hybrid,MetaMask Web3 Wallet,io.metamask,"Trade crypto easily with a fast, secure wallet",MetaMask: Trade Crypto: general crypto app
5,Base: formerly Coinbase Wallet,Other / Hybrid,Coinbase Wallet,org.toshi,"earn, Create, trade, earn & chat with the everything app from Base, It pays to be here",Base: formerly Coinbase Wallet: general crypto app
6,BlueWallet Bitcoin Wallet,Other / Hybrid,BlueWallet Services S. R. L.,io.bluewallet.bluewallet,"bitcoin, A Bitcoin and Lightning wallet focused on making Bitcoin fun and usable",BlueWallet Bitcoin Wallet: general crypto app
7,MEW crypto wallet: DeFi Web3,Other / Hybrid,MyEtherWallet,com.myetherwallet.mewwallet,"NFT, web3, ethereum","MEW crypto wallet: DeFi Web3: DeFi/Web3 emphasis, NFT support"
8,Guarda: Crypto Bitcoin Wallet,Centralized Exchange (CEX),GUARDA,com.crypto.multiwallet,"Secure wallet for BTC, ETH, DOGE, SOL& 10K+ tokens, Buy, exchange, stake crypto",Guarda: Crypto Bitcoin Wallet: general crypto app
9,Coinbase: Buy Crypto & Stocks,Other / Hybrid,Coinbase Inc,com.coinbase.android,"earn, ethereum, solana, rewards",Coinbase: Buy Crypto & Stocks: general crypto app
10,Solflare - Solana Wallet,DeFi / DEX Wallet,Solrise Research Ltd,com.solflare.mobile,"DeFi, solana, Securely manage meme coins, stake crypto and explore DeFi on Solana blockchain",Solflare - Solana Wallet: DeFi/Web3 emphasis
11,YouHodler: BTC & Crypto Wallet,Centralized Exchange (CEX),YouHodler,com.youhodler.youhodler,"bitcoin, Secure Crypto Exchange & Bitcoin Wallet: Buy BTC, ETH, USDT",YouHodler: BTC & Crypto Wallet: general crypto app
12,"Bridge Wallet: Bitcoin, crypto",Other / Hybrid,Mt Pelerin Group SA,com.mtpelerin.bridge,The Swiss app to invest in crypto the easy way,"Bridge Wallet: Bitcoin, crypto: beginner-friendly"
13,"Bitget Wallet: Crypto, Bitcoin",DeFi / DEX Wallet,Bitget Wallet,com.bitkeep.wallet,"DeFi, web3, Web3 wallet for crypto & DeFi","Bitget Wallet: Crypto, Bitcoin: DeFi/Web3 emphasis"
14,Crypto.com: Onchain Wallet,Self-Custody Wallet,Crypto.com Onchain Wallet,com.defi.wallet,"self-custody, DeFi, Securely trade & stake 1000s of crypto, explore DeFi with a self-custody wallet","Crypto.com: Onchain Wallet: self-custody focus, DeFi/Web3 emphasis"
15,Exodus: Crypto Bitcoin Wallet,Other / Hybrid,"Exodus Movement, Inc.",exodusmovement.exodus,"Secure crypto wallet, Buy, send & manage BTC, ETH, USDT and more in one wallet",Exodus: Crypto Bitcoin Wallet: general crypto app
16,Trust: Crypto & Bitcoin Wallet,Self-Custody Wallet,"DApps Platform, Inc.",com.wallet.crypto.trustapp,"self-custody, earn, swap, multi-chain",Trust: Crypto & Bitcoin Wallet: self-custody focus
17,Rabby Wallet - Crypto & EVM,DeFi / DEX Wallet,OPCODE LABS,com.debank.rabbymobile,"DeFi, NFT, web3","Rabby Wallet - Crypto & EVM: DeFi/Web3 emphasis, NFT support"
18,Enjin: Crypto & NFT Wallet,Other / Hybrid,Enjin Pte. Ltd.,com.enjin.mobile.wallet,"NFT, Secure & Trustworthy - Store, Buy & Sell NFTs, BTC, ETH, LTC, DOGE & More",Enjin: Crypto & NFT Wallet: NFT support
19,MyTonWallet • TON Wallet,Other / Hybrid,MyTonWallet,org.mytonwallet.app,"solana, 🦄 Safe and powerful wallet for TON, TRON and Solana",MyTonWallet • TON Wallet: general crypto app
20,SafePal: Crypto Wallet BTC NFT,Other / Hybrid,SafePal Wallet,io.safepal.wallet,"Manage 10,000+ tokens in the safest and easiest-to-use cryptocurrency wallet",SafePal: Crypto Wallet BTC NFT: general crypto app
21,Phantom,Other / Hybrid,"Phantom Technologies, Inc.",app.phantom,"NFT, The friendly crypto wallet for tokens and NFTs",Phantom: NFT support
22,Noone Crypto Wallet,DeFi / DEX Wallet,Raias Llc,io.noone.androidwallet,"swap, Securely manage your cryptocurrency — easily convert, buy, swap and hold crypto",Noone Crypto Wallet: general crypto app
23,Bitcoin Wallet Crypto Ethereum,Other / Hybrid,Atomic Wallet,io.atomicwallet,"NFT, bitcoin, ethereum, solana",Bitcoin Wallet Crypto Ethereum: NFT support
24,"Crypto.com: Buy BTC, ETH & CRO",Other / Hybrid,Crypto Technology Holdings Limited,co.mona.android,"bitcoin, Trade, buy, and store Bitcoin, CRO, ETH, XRP and more cryptocurrencies securely","Crypto.com: Buy BTC, ETH & CRO: general crypto app"
25,NC Wallet: Crypto Without Fees,Other / Hybrid,NCW Team,com.ncwallet,"Manage all crypto in one place: BTС, ETH, MATIC, SOL, USDT, USDC, BNB, etc",NC Wallet: Crypto Without Fees: general crypto app
26,OKX: Buy Bitcoin BTC & Crypto,Other / Hybrid,OKX,com.okinc.okex.gp,"NFT, web3, bitcoin, ethereum","OKX: Buy Bitcoin BTC & Crypto: DeFi/Web3 emphasis, NFT support"
27,BTCC - Trade Bitcoin & Crypto,Centralized Exchange (CEX),BTCC.COM,com.btcc.hy,"Crypto exchange for trading & investing, BTC, ETH, XRP, SOL & XRP trading",BTCC - Trade Bitcoin & Crypto: general crypto app
28,MoonPay: Buy Crypto & Bitcoin,Other / Hybrid,MoonPay,com.moonpay,"bitcoin, Buy Crypto & Bitcoin fast with Google Pay | A trusted crypto app for your coins",MoonPay: Buy Crypto & Bitcoin: general crypto app
29,Cwallet - Secure Crypto Wallet,DeFi / DEX Wallet,Cwallet,com.blockabc.cctip,"swap, web3, Cwallet: Web3 crypto wallet to manage, swap, save & transfer assets securely",Cwallet - Secure Crypto Wallet: DeFi/Web3 emphasis
30,Bybit: Buy Bitcoin & Crypto,Centralized Exchange (CEX),Bybit,com.bybit.app,"bitcoin, Trade Bitcoin, Ether, crypto securely at Bybit exchange & marketplace",Bybit: Buy Bitcoin & Crypto: general crypto app
31,Uniswap: Crypto & NFT Wallet,Other / Hybrid,Uniswap by Uniswap Labs,com.uniswap.mobile,"NFT, ethereum",Uniswap: Crypto & NFT Wallet: NFT support
32,MEXC: Buy Bitcoin BTC & Crypto,Centralized Exchange (CEX),MEXC Ltd,com.mexcpro.client,"Trade BTC, ETH, SOL, 0 Fees & 3000+ Coins | Crypto Exchange & Secure Trading",MEXC: Buy Bitcoin BTC & Crypto: general crypto app
33,Kraken: Buy Stocks & Crypto,Other / Hybrid,"Payward, Inc.",com.kraken.invest.app,All your crypto & stocks in one secure and trusted app,Kraken: Buy Stocks & Crypto: general crypto app
34,Kraken Wallet: Crypto & NFT,Self-Custody Wallet,"Payward, Inc.",com.kraken.superwallet,"self-custody, Secure self-custody wallet for easy access to the decentralized web","Kraken Wallet: Crypto & NFT: self-custody focus, beginner-friendly, DeFi/Web3 emphasis"
35,Edge - Bitcoin & Crypto Wallet,Self-Custody Wallet,Edge (formerly Airbitz),co.edgesecure.app,"self-custody, Decentralized, self-custody crypto wallet, Buy & sell BTC, ETH, SOL, Monero etc","Edge - Bitcoin & Crypto Wallet: self-custody focus, DeFi/Web3 emphasis"
36,OneKey: Crypto DeFi Wallet,Other / Hybrid,ONEKEY LIMITED,so.onekey.app.wallet,"multi-chain, Multi-chain Wallet",OneKey: Crypto DeFi Wallet: general crypto app
37,Robinhood Wallet: Swap Crypto,DeFi / DEX Wallet,Robinhood,com.robinhood.gateway,"DeFi, swap, web3, bitcoin, solana",Robinhood Wallet: Swap Crypto: DeFi/Web3 emphasis
38,Gemini Markets & Credit Card,Other / Hybrid,"Gemini Space Station, Inc.",com.gemini.android.app,"earn, Trade Crypto",Gemini Markets & Credit Card: general crypto app
39,Speed Wallet - Buy Bitcoin,Other / Hybrid,Speed1 Inc,com.app.speedwallet,"bitcoin, Buy, Send & Receive Bitcoin, USDT, USDC, XAUT & Crypto instantly",Speed Wallet - Buy Bitcoin: general crypto app
40,Coin Wallet - Bitcoin & Crypto,Other / Hybrid,CoinSpace,com.coinspace.app,"bitcoin, ethereum, Store Bitcoin, Ethereum, Monero, Toncoin, USDT, Litecoin, BTC and other crypto",Coin Wallet - Bitcoin & Crypto: general crypto app
41,Proton Wallet: Secure Bitcoin,Other / Hybrid,Proton AG,me.proton.wallet.android,"custodial, A secure, self-custodial BTC wallet protected by Proton Mail’s E2E encryption","Proton Wallet: Secure Bitcoin: self-custody focus, advanced trading features"
42,Crypto & Bitcoin Wallet Paybis,Other / Hybrid,PAYBIS,com.paybis,"bitcoin, ethereum, solana",Crypto & Bitcoin Wallet Paybis: general crypto app
43,Zengo: Crypto & Bitcoin Wallet,Other / Hybrid,ZenGo,com.zengo.wallet,"bitcoin, Buy, store, and trade your Bitcoin & crypto with the most secure crypto wallet",Zengo: Crypto & Bitcoin Wallet: general crypto app
44,Crypto.com Exchange,Other / Hybrid,Crypto.com Exchange,com.crypto.exchange,"bitcoin, ethereum, Advanced Crypto Trading App: Bitcoin, Ethereum, Litecoin, & Other Crypto Assets",Crypto.com Exchange: advanced trading features
45,Crypto Exchange: Buy BTC・USDT,Centralized Exchange (CEX),Changelly – Instant Crypto Exchange,com.changelly.app,"credit card, bitcoin, Buy, exchange, sell Bitcoin BTC and other cryptocurrency with debit/credit card",Crypto Exchange: Buy BTC・USDT: general crypto app
46,"Crypto exchange: USDT, Bitcoin",Self-Custody Wallet,ChangeNOW,io.changenow.changenow,"non-custodial, custodial, Non-custodial crypto interface with access to 1,400+ digital assets","Crypto exchange: USDT, Bitcoin: self-custody focus"
47,ZebPay: Bitcoin & Crypto App,Other / Hybrid,ZebPay,zebpay.Application,bitcoin,ZebPay: Bitcoin & Crypto App: general crypto app
48,Bitget - Buy & Sell Crypto,Centralized Exchange (CEX),BG LIMITED,com.bitget.exchange,"futures, Trade digital assets in the leading spot trading & futures trading Exchange",Bitget - Buy & Sell Crypto: advanced trading features
49,CoinGecko: Crypto Tracker,Other / Hybrid,CoinGecko,com.coingecko.coingeckoapp,"NFT, bitcoin, Track your crypto portfolio, Bitcoin, coin stats, NFT, & cryptocurrency news",CoinGecko: Crypto Tracker: NFT support
50,Binance: Buy Bitcoin & Crypto,Centralized Exchange (CEX),Binance Inc.,com.binance.dev,"Spot trading, futures, staking, earn, 350+ coins","Binance: largest global CEX by volume, advanced trading features, broad altcoin selection vs Blockchain.com security-first approach"
51,Chase Mobile,Traditional Bank,JPMorgan Chase,com.chase.sig.android,Our Chase Mobile App makes it easy for you to bank on the go 24/7,"Chase Mobile: no crypto offering, legacy brand trust, same security-conscious demographic"
52,Bank of America Mobile Banking,Traditional Bank,Bank of America,com.infonow.bofa,"Banking, Budgeting & Investing","Bank of America Mobile Banking: no crypto offering, legacy brand trust, same security-conscious demographic"
53,Wells Fargo Mobile®,Traditional Bank,Wells Fargo Mobile,com.wf.wellsfargomobile,Wells Fargo Mobile allows you to access your investment and bank accounts,"Wells Fargo Mobile®: no crypto offering, legacy brand trust, same security-conscious demographic"
54,Citi Mobile®,Traditional Bank,Citibank N.A.,com.citi.citimobile,"The Citi Mobile® App lets you manage your accounts virtually anytime, anywhere","Citi Mobile®: no crypto offering, legacy brand trust, same security-conscious demographic"
55,Schwab Mobile,Brokerage / Wealth Management,,com.schwab.mobile,,"Schwab Mobile: no crypto offering, legacy brand trust, same security-conscious demographic"
56,Fidelity Investments,Brokerage / Wealth Management,Fidelity Investments,com.fidelity.android,"Easily invest, save, and plan—all in one app","Fidelity Investments: no crypto offering, legacy brand trust, same security-conscious demographic"
57,"Vanguard: Save, Invest, Retire",Brokerage / Wealth Management,"The Vanguard Group, Inc.",com.vanguard,"Investing, trading, accessing accounts: brokerage, Roth IRA, retirement & more","Vanguard: Save, Invest, Retire: no crypto offering, legacy brand trust, same security-conscious demographic"
58,thinkorswim Mobile,Brokerage / Wealth Management,,com.devexperts.tdmobile.platform.android.thinkorswim,,"thinkorswim (TD Ameritrade): no crypto offering, legacy brand trust, same security-conscious demographic"
59,USAA Mobile,Insurance / Financial Services,USAA,com.usaa.mobile.android.usaa,"investment accounts, Convenient, secure access to USAA insurance, banking, and investment accounts","USAA Mobile: no crypto offering, legacy brand trust, same security-conscious demographic"
60,Amex,Insurance / Financial Services,American Express,com.americanexpress.android.acctsvcs.us,"rewards, Secure Amex Account Access: View Balance, Make Payments, Redeem Rewards & more","Amex: no crypto offering, legacy brand trust, same security-conscious demographic"
